business_area,address,address_2,city,state,zipcode,phone,latitude,longitude,facility_summary
Corporate R&D,1021 Main Campus Dr.,,Raleigh,NC,27606,,35.7693645,-78.6796229,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2173&LanguageCode=en&DocumentPartId=&Action=Launch
Electrication - Distribution Center,8001 W Buckeye Rd,,Phoenix,AZ,85043,,33.4358611,-112.2342567,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2143&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Corporate,2018 Powers Ferry Road,,Atlanta,GA,30339,,33.9022588,-84.4624432,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2001&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Corporate,860 Ridge Lake Blvd.,,Memphis,TN,38120,1 901 252 8000,35.1072919,-89.8693457,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2059&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Center,442 E. Stonewall Rd.,,Byhalia,MS,38611,1 901 435 7500,34.8585375,-89.6739031,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2004&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Center,648 Couchville Pike,,Mt. Juliet,TN,37122,,36.0714357,-86.4351538,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2141&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Solutions,3022 NC 43 North,,Pinetops,NC,27864,1 252 827 2121,35.8025535,-77.6435409,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2063&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Solutions,1000 Carson Ct.,,Easton,PA,18045,,40.73973404,-75.2750078,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108468A1870&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Solutions,2300 Mchanicsville Rd.,,Florence,SC,29501,1 843 413 4700,34.2422032,-79.7872231,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2139&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Solutions,400 S. 4th Street,,Selmer,TN,38375,,35.163427,-88.5997261,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2148&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Distribution Solutions & Smart Power,6801 Industrial Drive,,Mebane,NC,27302,,36.081655,-79.2365628,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2153&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - E-mobility U.S. Headquarters,950 W. Elliot Road,Suite 100,Tempe,AZ,85284,,33.3495472,-111.9538327,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2150&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,5601 E. Highland,,Jonesboro,AR,72401,1 870 935 2559,35.8191808,-90.6313253,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2057&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,12 Southland Road,,Ormond Beach,FL,32174,1 386 682 9110,29.3278602,-81.1170395,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2061&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,415 19th Street Dr. SE,,Hickory,NC,28602,,35.7258626,-81.3103626,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2140&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,1 Esna Park on Newburg Rd.,,Hackettstown,NJ,7853,1 908 813 2147,40.8201912,-74.8317245,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2012&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,"6625 Bluewater Rd, NW",,Albuquerque,NM,87121,1 505 836 2020,35.0879812,-106.7180625,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A1999&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,Cabo Caribe Industrial Park,,Vega Baja,PR,,,18.4499391,-66.3915557,https://search.abb.com/library/Download.aspx?DocumentID=9AKK107046A7658&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,260 Dennis St. ,,Athens,TN,37303,1 423 745 6588,35.4420142,-84.6304663,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2134&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Installation Products,200 Challenger Dr.,,Portland,TN ,37148,1 615 325 6800,36.6018962,-86.5308795,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2145&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Research & Development,45 Griffin Road South,,Bloomfield,CT,6002,,41.8699417,72.7365113,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2138&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Smart Power,1555 Scott St.,,Senatobia,MS,38668,,34.5850436,-89.9661994,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2069&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Smart Power,41.0 Zeno Gandia Industrial Park,,Aricebo,PR,,,18.458418,-66.7467445,https://search.abb.com/library/Download.aspx?DocumentID=9AKK107492A5832&LanguageCode=en&DocumentPartId=&Action=Launch
Electrification - Smart Power,"330 Uro, Cabo Caribe Industrial Park",Suite A,Vega Alta,PR,,,18.4298404,-66.3671419,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2149&LanguageCode=en&DocumentPartId=&Action=Launch
"Electrification - Smart Power, Smart Buildings & Motion - Traction",5900 Eastport Blvd. ,,Richmond,VA,23231,1 804 236 3300,37.5019422,-77.3538112,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2146&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - Corporate,1425 North Discovery Parkway,,Wauwatosa,WI,53226,1 262 785 3200,43.0480298,-88.0374697,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2151&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - Drive Products,16250 W Glendale Dr.,,New Berlin,WI,53151,,42.9994404,-88.1195346,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2142&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,5711 RS Boreham Jr St.,,Fort Smith,AR,72901,1 479 646 4711,35.3264757,-94.4297224,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2009&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,1910 Baldor Dr,,Ozark,AR,72949,,35.4939699,-93.8494314,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2062&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,195 Collins Industrial Blvd.,,Athens,GA,30601,,33.9816799,-83.3549127,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2000&LanguageCode=en&DocumentPartId=&Action=Launch
Motion - NEMA Motors,4349 Avery Drive,,Gainesville,GA,30542,,34.20115452,-83.89665429,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108467A2010&LanguageCode=en&DocumentPartId=&Action=Launch
